微博id,微博正文/转发理由,是否原创,情感得分
IcxOskGu0,转发理由:#美育未来，慈善同行# 坚持初心，与爱同行  ,FALSE,1
Icwq06ntm,今晚七点，来#天猫双11开幕盛典#，和我一起解锁新歌《I Adore You》，@天猫 一会见  [组图共2张] 原图 ,TRUE,1
Icut37dbY,“给我一个节日，让愿望11实现”，@天猫 双11全球狂欢节，参与#愿望11实现#话题互动，让我看到你们的愿望吧～#双11来了# Tmall天猫的秒拍视频  ,TRUE,1
IclzUnLHw,明天上新  原图 ,TRUE,1
IaXvCFBwG,转发理由:珍惜韶华，不负青春，一起做新时代的追梦人！  ,FALSE,1
I9rFv0nyD,转发理由:爱我中华，祖国万岁🇨🇳//@TFBOYS组合:亲爱的祖国母亲生日快乐，祖国万岁，越来越好！🇨🇳🇨🇳🇨🇳🎂🎂🎂  ,FALSE,1
I9qSztGo4,转发理由:愿祖国母亲越来越好，生日快乐🇨🇳 //@TFBOYS组合:美好的祝愿献给伟大的祖国，祝您生日快乐！🇨🇳🇨🇳🇨🇳🎂🎂🎂  ,FALSE,1
I9aGcDj3a,转发理由:#我和我的祖国# 致敬共和国最亮的星！//@TFBOYS组合:#我和我的祖国# 向您们致敬！  ,FALSE,1
I93lC4bUJ,#今天是你的生日#《今天是你的生日——庆祝新中国成立70周年优秀国产影片特别推介》，今晚七点半在CCTV3、CCTV6播出，一起感受光影力量，为祖国祝福！  [组图共2张] 原图 ,TRUE,1
I90tNccd5,转发理由:致敬伟大祖国，祝新中国70岁生日快乐  ,FALSE,1
I8ZhLEgQ0,#我和国旗合个影# 爱国不犹豫，我是易烊千玺，我在北京，向祖国母亲表白 TFBOYS-易烊千玺的微博视频  ,TRUE,1
I7RJxDIY9,祝凯哥@TFBOYS-王俊凯 二十岁生日快乐，20岁开启人生新阶段，继续坚定地走自己的路，做喜欢的事，做最开心的boy！👻  [组图共2张] 原图 ,TRUE,1
I7ucicp6G,转发理由:勿忘国耻，捍卫和平🇨🇳//@TFBOYS组合:勿忘国耻，吾辈自强！🇨🇳🇨🇳🇨🇳  ,FALSE,1
I7kbmBnAf,转发理由:#一场特别的快闪祝福祖国# 祝愿祖国更加繁荣昌盛，明天更美好  ,FALSE,1
I7aMuhbgj,转发理由:想要neo菌去到你的城市，一起#混市开玩#吗？锁定@adidasneo，等你来 #生来好动#  ,FALSE,1
I6MsxqJko,我带着自拍来了，祝大家中秋快乐，团圆喜乐  [组图共2张] 原图 ,TRUE,1
I6BIaCWo8,你好，世界！我是易烊千玺，我为家乡湖南点赞。#创新湖南融入世界# 外交部举办湖南全球推介活动，生态湖南，山水秀美，和我一起感受#你不知道的新湖南#！ TFBOYS-易烊千玺的微博视频  ,TRUE,1
I6yXL0ieI,转发理由:9月13日中秋节，我在#央视中秋晚会#现场等你们～不见不散！@CCTV4  ,FALSE,1
I5Fvqd4rb,转发理由:#智族GQ十年# 预祝盛典圆满成功，十周年生日快乐！  ,FALSE,1
I4MFVhSzC,转发理由:祝源哥演唱会圆满成功  ,FALSE,1
I4mhrnYpt,转发理由:#微博十年# 十周岁生日快乐//@曹国伟:#微博十年# 生日快乐！  ,FALSE,1
I3x0us7fu,转发理由:#智族GQ十年# 致敬十年，期待未来更多精彩。祝@智族GQ 十周年生日快乐！  ,FALSE,1
I3ejtdSqm,#微博十年##我和微博的那些事# 我最常用的表情是，你们呢？http://t.cn/AiHfJuTk  原图 ,TRUE,1
I2VCw6hs9,转发理由:回到“源”点，一起感受  ,FALSE,1
I29u5kRns,转发理由:#我也支持香港警察#🇨🇳🇨🇳🇨🇳//@TFBOYS组合:#我也支持香港警察# 🇨🇳🇨🇳🇨🇳  ,FALSE,1
I1MwG099e,"转发理由:谢谢李赫宰哥哥和团队给我们的指导和帮助，很开心可以一起工作，辛苦了～//@haohaohyuk:@TFBOYS组合 콘서트가 무사히 잘 마무리 되어서 다행이에요. 6주년을 진심으로 축하하고, 앞으로도 더 멋지게 성장하길 바랄게요! 더운 날씨에 정말 수고했고, 함께 일하게돼서 즐거웠어요. 다음에 또 만나요.  ",FALSE,1
I1LmpoBkM,转发理由:很开心五月天哥哥们来参加我们的演唱会，谢谢哥哥们送给我们的礼物，祝哥哥们北京鸟巢演唱会圆满成功！  ,FALSE,1
I1HPW4zak,转发理由:救援人员辛苦了，愿大家平安🙏//@TFBOYS组合:致敬英雄！愿平安🙏🏻🙏🏻🙏🏻  ,FALSE,1
I1CVxC8IB,#TFBOYS告白TheFever六周年演唱会# 今天的演唱会我们很开心，感谢大家一直以来的陪伴，回家路上一定要注意安全，早点休息，晚安～ TFBOYS-易烊千玺的微博视频  ,TRUE,1
I1A858bfM,#TFBOYS告白TheFever六周年演唱会# 今晚一起享受舞台  原图 ,TRUE,1
I1zT6oRfW,转发理由:#TFBOYS告白TheFever六周年演唱会#大家不要在场馆外聚集，做好防暑防晒措施，注意安全。晚上见。  ,FALSE,1
I1xNG4cZU,#TFBOYS告白TheFever六周年演唱会# 演唱会就要到来了，十分期待和大家的见面，大家一定要注意防暑、注意安全。今年的演唱会将于四点开始检票入场，希望大家六点半前完成入场。为了能够顺利见面，我们恳请大家：不要在场馆周边聚集，不做应援、不呼喊口号；不带灯牌等易燃易爆危险品入场，为每一个人的...全文 ,TRUE,1
I1qchtJYk,#TFBOYS告白TheFever六周年演唱会# 演唱会倒计时1天！我们正在做最后的准备，为了明天能顺利见面，我们在此提醒大家：天气炎热，请大家注意防暑，不要在场馆外聚集、呼喊口号，不要夜排，不做任何应援，明日的演唱会将于四点开始检票入场，希望大家尽量于六点半前入场完毕。没有票的大家请勿来到现场，...全文 ,TRUE,1
I1kmvBmdj,After the summer comes the fall Fall  原图 ,TRUE,1
I1hhIs3Ys,#TFBOYS告白TheFever六周年演唱会# 后天就是我们的六周年演唱会了，为了能够顺利和大家见面，以下几点注意事项希望大家遵守并配合我们：有票的大家不聚集，不应援，不携带灯牌等易燃易爆危险品进入场馆；没有票的大家可以通过直播和我们一起过生日！期待一起度过美好的时刻，8.10舞台见！...全文 ,TRUE,1
I1eFi5YzN,转发理由:跟随我的👣 ，易起燃爆未来🔥 #混造OZ世代# #OZWEEGO# @adidasOriginals  ,FALSE,1
I19pT5BD5,转发理由:多的是你不知道的事，详见小黑屋  ,FALSE,1
I18tvh5f8,#TFBOYS告白TheFever六周年演唱会# 距离六周年演唱会已经非常近了，我们正在全力准备和大家的见面，同时我们也很担心大家的安全，所以再次提醒来看演唱会的大家：我们的演唱会下午四点就可以开始入场了，请大家五点半前到场，在六点半前配合安检人员排队有序完成入场，天气炎热注意防暑，没有票的大家...全文 ,TRUE,1
I14CW8Hck,我已经到酒店了，大家快回去好好休息吧，一定要注意安全，演唱会现场见！  ,TRUE,1
I109QyAuE,转发理由:祝VOGUE14周年生日快乐！期待未来更多精彩#国模之美#  ,FALSE,1
I0S513IGn,转发理由:TFBOYS特别六，一起大步向前走  ,FALSE,1
I0NpapBbE,转发理由:#TFBOYS第一次告白# 未来遥远勇敢去追  ,FALSE,1
I0Ga2onIa,转发理由:#五星红旗有14亿护旗手# 我爱祖国，我是护旗手！🇨🇳//@TFBOYS组合:#五星红旗有14亿护旗手# 五星红旗是我们的骄傲！我们都是护旗手🇨🇳🇨🇳🇨🇳  ,FALSE,1
I0xgnbuNU,#这就是街舞# 今晚收官，一起感受街舞的魅力！  原图 ,TRUE,1
I0wcb7GQ6,转发理由:益起来，帮助更多需要帮助的人  ,FALSE,1
I0jUbwxxu,未知旅途，探索内心，追寻美好陷落美好  原图 ,TRUE,1
I0e5SlwxV,转发理由:#黄晓明别哭我最爱的人# 向消防英雄致敬，支持《烈火英雄》！  ,FALSE,1
I0csqujCP,转发理由:#致敬中国军人# 谢谢你们的无畏与坚守，节日快乐！//@TFBOYS组合:#致敬中国军人# 向无畏坚守的你们致敬，节日快乐！  ,FALSE,1
HFQ8usKkq,转发理由:听源哥唱关于旅程的《源》～  ,FALSE,1
HFrBo6Ykr,#这就是街舞# 易燃装置全员合体，一起享受舞台易燃装置战队秀，各舞种集结燃炸全场！  ,TRUE,1
HFi4RuXoe,转发理由:期待今晚王经理上线～  ,FALSE,1
HF6ZQy4dX,#TFBOYS告白TheFever六周年演唱会# 期待已久的六周年演唱会就要来了，为了演出顺利进行，为了能和大家如约见面，我们需要大家的支持：现场的你注意防暑，请不要在场馆外聚集应援，不要携带灯牌等易燃危险品进入场馆，有序排队检票入场，听从现场工作人员的安排，避免出现安全问题，共同保障这次演唱会...全文 ,TRUE,1
HF3WX2r6D,#TFBOYS帮你消化不开心# 炎炎夏日没胃口吃饭？别不开心，@蒙牛GO畅乳酸菌 来帮你消化！#在乎不开心这件小事#  原图 ,TRUE,1
HENVkyLmh,转发理由:一起享受这场演唱会，现场见  ,FALSE,1
HEHnnb0Bb,#长安十二时辰# 李司丞今晚有“新衣服”穿了  原图 ,TRUE,1
HEExvchfK,转发理由:来听凯哥新歌～  ,FALSE,1
HEmnOlBjc,年轻，不被定义。我还要探索无限可能，#我还要活出年轻# evian依云中国的微博视频 @evian依云中国 http://t.cn/EwB0DAK  ,TRUE,1
HEcdsyxSj,转发理由:“忘记我们，记住他们”，记住这个时代最可爱的人//@黄晓明:#烈火英雄# 作为演员，我们只是花几个月时间去体验和饰演消防员，但现实中却有无数消防员为了我们的平安在默默奉献着，甚至有人会牺牲生命去守护我们。所以看完这部电影，请忘记我们，记住他们！  ,FALSE,1
HDSef4AcK,#与千玺理想生活一夏# 6天的放飞“假期”结束，以颜为本、玩出热血、以圈会友、花式养身、以国为潮、独而不孤……这是我的夏日理想生活打开方式，#理想夏日露一手#晒出来，让我也看看你的夏日生活吧！Tmall天猫的秒拍视频  ,TRUE,1
HDBJufW46,转发理由:生活中的美好时刻都值得被记录，这次换你来分享。  ,FALSE,1
HDtkbl6Os,六年了，感谢大家陪伴我长大～  [组图共2张] 原图 ,TRUE,1
HD6DsccDF,转发理由:#TFBOYS我的朋友# 一起成长，我的朋友  ,FALSE,1
HD5s6AMxi,感谢@天猫 支持我的放飞计划！我的夏日理想生活正式开启~上天猫和我互动，我们一起度过一个有趣又有意义的夏天#与千玺理想生活一夏#   Tmall天猫的秒拍视频  ,TRUE,1
HCWDrlkf3,今天太阳真的大，想给自己放个假，@天猫 放飞单请查收！想了解我的夏日理想生活，来这里找我 http://t.cn/AiOsVspg #与千玺理想生活一夏#  原图 ,TRUE,1
HBtc6kXob,转发理由:不忘初心，牢记使命，祝福祖国  ,FALSE,1
HATrqmALj,#长安十二时辰##长安十二时辰开播# 破逆境，守苍生，保卫盛世长安！长安十二时辰 01  ,TRUE,1
HAEZIdDzL,很荣幸成为@RIMOWA日默瓦 中国区品牌代言人，关注我为RIMOWA拍摄的全新广告大片，获得夏日旅途的色彩灵感。  原图 ,TRUE,1
HzVRZCzo4,转发理由:少年无关年龄，每个人的心里都住着一个少年  ,FALSE,1
Hzo8Qm2pe,转发理由:愿平安🙏  ,FALSE,1
HzmvodouK,6月21日见 #华为nova5#  [组图共4张] 原图 ,TRUE,1
Hz39Dpg2y,今晚八点，在#这就是街舞#等你。  原图 ,TRUE,1
Hz06JhIrL,生活有无限可能，追求#理想生活别光想#，上@evian依云中国 天猫官方旗舰店，享多重好礼就在618！http://t.cn/AiNAq1wZ  evian依云中国的微博视频  ,TRUE,1
HyRLDzmCK,2019#微博电影之夜# ，6月16日，我们上海见！@微博电影之夜 #电影少年的你# TFBOYS-易烊千玺的微博视频  ,TRUE,1
